-0.76,-0.09,0.74,-17.70,-11.41,-12.51,0.84,-51.56,-19.70
-0.78,-0.14,0.67,-12.08,0.55,-11.96,2.17,-51.08,-19.99
-0.66,-0.76,-0.03,-4.21,106.63,-23.13,5.49,-52.64,-23.99
-0.22,-0.92,-0.02,13.43,52.73,13.79,7.55,-53.64,-25.49
-0.21,-0.87,-0.00,-17.52,-77.33,5.00,6.23,-55.33,-23.01
-0.30,-1.02,0.02,82.70,126.65,-25.02,8.77,-53.85,-27.89
-0.14,-0.93,0.28,-30.52,-75.20,-22.89,6.30,-55.54,-26.05
0.59,-0.65,0.28,-73.12,-9.16,-18.19,3.85,-58.79,-26.13
0.86,0.15,0.21,2.69,8.61,-10.56,1.51,-58.04,-26.62
0.81,0.23,0.55,-15.44,-15.08,-6.35,-0.86,-57.33,-26.22
1.06,0.42,0.38,-10.44,-19.78,-10.74,-3.65,-56.73,-25.82
0.31,0.71,0.60,-17.94,20.02,-35.71,-5.12,-55.24,-27.43
-0.47,0.46,0.96,90.15,-14.22,4.58,-4.37,-49.64,-27.01
0.32,1.57,-0.05,-75.99,-118.41,-44.68,-9.84,-51.56,-25.14
0.62,-0.50,0.07,-51.03,16.60,-35.77,-12.09,-54.08,-26.40
0.37,-1.36,0.03,218.81,73.55,117.31,-6.86,-46.74,-25.43
0.42,-0.87,0.00,-40.83,-47.85,-7.63,-9.15,-49.94,-24.00
0.55,-0.71,-0.11,-10.56,-33.08,-20.51,-11.79,-51.83,-23.24
0.33,0.34,0.75,-213.62,-99.24,-123.72,-18.83,-58.35,-23.18
0.44,-0.98,-0.02,31.25,-3.85,-12.57,-19.64,-58.23,-22.94
0.52,-0.81,-0.00,-16.36,-6.47,-21.36,-21.10,-59.88,-22.79
0.57,-0.75,0.17,-12.15,-0.24,-8.91,-22.05,-60.87,-22.76
0.69,-0.36,0.27,65.19,65.98,74.10,-19.46,-57.77,-23.70
-0.11,0.23,0.26,-226.87,-281.98,-2.26,-24.13,-68.53,-13.75
1.18,-0.66,-1.04,234.37,-212.89,-23.13,-29.69,-64.90,-4.66
1.54,0.18,0.72,185.85,127.08,-49.44,-30.41,-53.16,-11.62
-0.21,0.79,0.11,-40.83,-169.19,-84.05,-37.35,-55.30,-8.29
2.66,-0.03,2.19,-90.82,-153.32,-213.20,-48.65,-57.72,-8.64
-0.48,0.64,0.36,-39.67,-288.88,-278.63,-63.76,-63.19,-2.60
-0.10,0.62,0.13,84.66,59.69,179.87,-57.71,-59.27,-2.54
-0.39,0.70,-0.17,-92.47,3.23,259.70,-49.49,-68.23,4.27
-0.14,0.89,-0.14,17.27,13.31,-34.79,-51.99,-65.43,1.98
1.05,0.76,0.23,-51.51,-93.87,-206.67,-62.86,-65.82,0.75
-0.38,0.71,0.12,-94.06,97.90,118.47,-57.98,-64.48,-4.55
0.72,0.38,2.49,-112.61,-49.62,-10.50,-59.00,-67.62,-4.83
0.29,0.49,0.65,55.73,-46.69,-16.78,-61.16,-63.66,-5.60
0.53,0.25,-1.36,353.09,198.18,132.69,-54.19,-46.98,-9.84
1.16,0.04,0.50,-42.97,-56.76,-224.24,-62.59,-39.01,-20.61
0.21,0.59,0.46,-94.12,-90.64,-104.25,-68.11,-34.85,-28.14
-0.01,0.69,1.39,92.59,15.01,51.27,-65.46,-29.51,-29.19
0.35,0.59,0.22,-45.35,-3.85,-113.65,-67.87,-16.37,-44.63
-0.55,-0.28,2.24,218.75,-98.45,-10.19,-69.52,-8.26,-43.90
0.33,0.38,0.39,-25.82,95.34,42.42,-64.58,-9.22,-43.61
1.34,-0.92,-0.04,42.66,126.34,295.59,-56.54,-27.54,-21.34
0.46,0.06,0.34,77.58,187.26,-233.64,-52.15,-7.35,-41.80
-0.33,0.84,-0.01,83.80,68.91,-31.74,-49.08,1.00,-46.64
0.27,0.27,0.30,-322.57,37.78,-70.50,-47.56,-6.68,-52.42
0.27,0.15,1.43,95.34,-28.20,-36.80,-47.40,-0.71,-54.93
0.27,0.88,-0.25,-7.32,-3.23,-14.89,-48.35,2.81,-58.19
0.49,0.80,-0.40,-49.19,-25.27,-6.53,-50.63,4.06,-60.83
0.03,0.68,0.85,-25.27,18.62,-3.54,-48.47,5.14,-62.50
0.56,0.84,-0.01,-15.38,-34.42,-6.90,-50.47,7.95,-65.39
0.18,0.74,0.74,-31.43,22.09,-11.84,-48.49,9.27,-67.53
0.09,0.60,0.85,-10.80,-8.00,-16.48,-47.28,11.07,-69.66
0.61,0.73,-0.65,64.51,-13.79,6.16,-49.33,16.10,-71.46
0.53,0.64,-0.45,3.11,2.69,1.59,-50.51,18.90,-73.47
0.56,0.60,-1.02,-136.35,6.47,-24.66,-51.62,16.99,-76.74
0.23,0.73,0.23,-197.81,40.89,-54.87,-48.95,13.95,-81.59
0.73,0.79,-0.02,-99.91,-9.77,-42.18,-49.62,14.49,-86.17
0.05,0.41,1.37,-126.77,-1.04,-69.34,-47.33,12.68,-90.40
