accX,accY,accZ,gyroX,gyroY,gyroZ,pitch,roll,yaw
-0.58,-0.09,0.87,-9.95,-9.22,-11.90,0.88,-0.59,-8.98
-0.58,-0.09,0.87,-8.00,-5.13,-10.44,1.90,-1.10,-9.40
-0.56,-0.01,0.89,16.11,-20.94,21.06,2.23,-0.42,-8.54
-0.58,0.43,0.63,-12.76,5.07,-15.01,3.74,0.07,-9.10
-0.30,0.71,0.71,1.40,-20.51,24.11,3.45,1.73,-8.04
-0.19,0.80,0.72,-9.77,-61.65,-67.93,1.41,2.83,-10.75
-0.54,0.12,0.92,-33.26,-7.57,-40.71,2.26,1.61,-12.40
-0.44,-0.03,0.95,-61.83,12.94,7.87,3.66,-0.96,-12.10
-0.55,-0.11,0.88,-6.23,-4.46,-15.26,4.55,-1.46,-12.73
0.37,0.12,0.95,33.45,-108.76,2.20,-0.79,0.20,-12.58
0.92,0.46,-0.12,88.75,-182.92,-71.17,-9.94,5.05,-15.86
0.05,0.71,0.62,-69.40,499.21,-54.63,10.05,3.83,-16.75
-0.77,0.50,0.54,-38.88,-61.40,1.71,8.99,3.26,-16.67
-0.65,0.53,0.63,-13.31,-19.84,-4.58,9.38,3.78,-16.73
-0.63,0.56,0.65,15.44,-29.79,-24.41,9.35,5.34,-17.61
-0.71,0.01,0.81,-19.96,-50.84,-39.79,8.66,4.11,-19.43
-0.65,-0.02,0.87,-7.45,-14.59,-14.04,9.18,3.54,-20.07
-0.62,-0.01,0.88,-7.75,-9.64,-11.66,9.82,3.00,-20.59
-0.64,0.01,0.84,-12.02,-15.08,-14.95,10.29,2.34,-21.24
-0.03,0.04,1.09,14.53,-84.41,25.21,6.52,3.03,-20.39
0.27,0.50,0.83,115.66,35.28,98.27,6.68,9.13,-16.24
-0.06,0.25,0.71,-190.61,215.45,112.12,14.65,2.95,-10.75
0.48,0.09,0.96,11.90,-46.02,-24.72,11.37,3.27,-11.85
0.61,0.01,0.89,1.65,8.06,-41.93,10.16,2.94,-13.54
0.01,0.79,0.45,57.56,6.29,-238.83,10.86,5.40,-22.85
-0.62,0.78,0.04,-71.59,182.56,31.80,19.31,4.88,-20.53
-0.76,0.04,0.77,-123.35,-155.09,-128.85,14.25,-1.71,-26.15
0.82,-0.58,0.24,13.31,-34.97,-47.91,10.89,-2.88,-28.35
1.23,0.32,0.15,-39.61,11.05,43.58,9.24,-3.57,-26.49
-0.05,-0.59,1.23,80.75,157.96,137.57,15.45,-0.05,-21.22
-0.14,0.25,0.86,31.49,-26.98,118.77,14.00,3.09,-16.18
-0.29,0.77,-0.71,72.45,-241.52,-109.92,5.73,6.78,-21.00
0.31,0.79,0.97,-39.43,-48.16,-56.76,3.35,6.19,-23.36
0.29,0.85,0.50,-3.30,-58.11,-28.75,0.48,7.76,-24.69
0.90,0.07,0.23,-57.01,-21.24,107.79,-3.05,5.49,-20.47
0.43,-0.53,0.55,-75.56,109.25,-78.86,0.42,1.05,-23.24
-0.04,-0.96,0.35,-42.24,50.48,98.75,2.58,-2.67,-19.34
0.03,-0.96,-0.02,-24.54,-161.68,20.75,-3.80,-6.08,-18.17
-0.35,-0.84,0.06,20.32,-24.72,31.62,-3.67,-7.41,-16.66
0.72,-0.86,0.51,42.24,218.44,-262.21,2.44,-6.94,-28.03
0.12,0.57,0.81,78.55,-65.43,43.70,1.08,-2.19,-26.31
-0.43,0.51,0.48,44.07,-16.91,-226.56,1.46,0.82,-35.28
-0.69,0.54,0.46,-30.46,-92.35,-10.01,-0.66,0.80,-35.71
-0.75,0.39,0.48,4.82,-4.64,-22.71,0.97,1.83,-36.61
-0.90,0.45,0.52,-51.70,-38.09,55.30,1.19,0.67,-34.44
0.34,0.45,1.00,-79.47,0.61,51.57,0.52,-1.61,-32.34
0.46,0.02,1.01,-21.36,27.34,21.00,0.67,-2.34,-31.53
-0.01,0.14,0.96,72.20,13.98,-27.65,1.22,0.94,-32.64
