accX,accY,accZ,gyroX,gyroY,gyroZ,pitch,roll,yaw
-0.39,0.23,0.97,-8.06,-6.90,-12.94,34.88,40.87,41.25
-0.51,0.21,1.03,-8.97,-11.17,-7.75,34.52,38.92,39.91
0.66,0.57,0.05,-25.21,-37.84,-34.73,32.22,37.88,38.23
0.54,0.47,0.61,63.35,64.21,103.45,29.37,43.22,43.73
-0.25,-0.56,0.54,37.78,266.91,48.22,36.05,47.96,53.16
0.19,-1.13,0.25,-127.56,-159.00,27.22,31.09,38.31,47.54
0.15,-0.98,0.22,60.85,122.99,-78.31,37.07,38.70,47.03
0.06,-1.11,0.41,-154.11,-71.29,4.76,34.85,28.86,43.62
0.04,-0.97,0.29,-119.63,-111.51,70.80,29.77,21.89,42.85
0.04,-0.92,0.06,152.34,-132.63,-120.48,26.95,22.03,34.30
0.08,-1.23,0.47,114.69,152.59,-46.57,33.17,24.38,33.91
0.17,-1.21,0.21,-209.11,-50.90,28.87,30.85,13.79,33.00
-0.38,-0.98,0.37,80.99,156.74,115.91,36.12,18.59,39.15
-0.21,-0.06,0.40,99.12,-100.04,263.49,28.24,26.61,48.13
0.56,-0.03,0.92,-46.45,-190.00,-14.53,19.74,22.14,43.71
0.54,0.03,0.84,8.54,71.17,-7.20,20.70,22.07,44.34
-0.89,0.00,0.10,184.94,128.42,-81.79,28.72,29.06,43.64
-1.03,0.01,0.24,50.78,-212.71,58.04,21.92,29.81,41.12
-0.39,0.44,-0.16,308.04,-65.37,77.64,19.14,44.32,42.94
-0.34,-1.02,0.32,-46.63,73.55,-168.03,26.71,39.03,38.89
-0.47,-0.98,0.17,-116.09,61.95,-138.98,33.14,30.47,34.22
-0.40,-1.23,0.24,186.46,21.48,-210.51,39.11,30.40,24.41
0.01,-0.68,0.26,-17.70,10.50,-20.69,40.03,26.33,21.87
-0.12,-0.97,0.20,-227.42,-31.43,182.07,36.57,19.42,27.93
-0.13,-1.49,0.08,-238.04,-107.67,44.49,32.40,7.79,27.16
-0.16,-0.77,-0.03,10.86,17.40,14.59,33.58,6.03,26.52
-0.24,-1.12,0.04,208.98,99.91,-18.55,38.15,11.55,24.88
-0.15,-1.15,0.22,77.09,40.95,-128.42,40.81,7.74,16.84
0.02,-0.85,0.24,-178.04,-60.49,99.18,37.79,0.87,19.82
-0.20,-1.50,0.15,-307.86,-208.56,95.28,29.93,-11.01,23.58
-0.19,-0.77,-0.03,-66.96,-42.85,-41.20,28.11,-16.82,20.95
-0.08,-1.35,-0.07,270.69,184.39,-31.13,34.86,-10.43,16.28
-0.05,-1.10,0.15,119.75,47.24,-122.19,35.39,-11.92,8.45
-0.05,-0.81,0.19,-111.08,-83.92,105.90,32.67,-15.48,12.95
-0.14,-1.07,0.02,-136.54,-76.11,9.52,29.75,-22.61,13.17
-0.07,-0.65,-0.09,100.71,147.46,14.47,35.31,-22.27,9.83
-0.20,-1.47,0.09,282.96,117.37,-152.89,37.26,-18.94,-0.76
-0.02,-0.73,0.22,66.71,-5.98,-22.71,35.96,-19.14,-3.12
-0.19,-0.85,0.19,-101.38,-26.73,79.35,35.77,-23.08,-0.36
-0.21,-1.18,0.13,-182.07,-92.53,8.24,32.26,-31.31,0.69
-0.13,-0.94,0.01,14.47,-14.95,-44.25,30.39,-33.66,-1.87
-0.01,-0.95,0.07,20.08,-28.93,-165.95,24.90,-37.35,-8.20
0.23,-1.46,0.04,-324.77,212.34,203.12,35.51,-52.33,-9.19
0.16,-0.61,-0.11,86.55,-177.73,-42.85,28.37,-48.05,-5.21
0.33,-1.73,-0.03,444.95,-177.73,-67.20,20.29,-31.07,-3.50
0.27,-1.21,0.36,-250.85,118.71,31.80,23.72,-43.33,-5.94
0.22,-0.87,0.01,-135.31,-24.84,110.29,25.04,-48.70,-2.45
0.43,-1.42,0.01,231.93,290.77,-22.83,30.92,-45.97,-13.52
0.29,-1.13,0.12,50.35,-266.72,-58.04,20.38,-42.69,-7.92
0.23,-1.00,0.04,174.74,-111.39,-23.07,15.38,-36.68,-6.30
0.07,-0.97,0.28,-104.86,86.06,-2.44,17.29,-42.93,-9.02
0.03,-0.99,0.17,7.02,-83.01,-148.62,10.20,-44.55,-11.48
0.13,-1.23,0.25,47.85,107.30,126.53,16.21,-43.77,-11.07
0.16,-1.17,0.09,-167.24,-88.56,31.01,13.96,-51.04,-7.89
0.36,-1.38,0.06,237.43,27.71,-89.11,11.13,-43.65,-11.58
0.13,-1.17,0.23,-90.15,-98.14,99.85,10.64,-47.48,-6.12
0.06,-1.02,0.05,47.67,-52.61,-194.82,3.04,-47.47,-10.11
0.21,-1.21,0.24,93.93,67.81,140.56,8.46,-44.69,-8.24
0.18,-1.08,0.15,-189.21,-240.30,-36.80,0.47,-53.11,-2.13
