accX,accY,accZ,gyroX,gyroY,gyroZ,pitch,roll,yaw
-0.08,0.40,0.98,-10.07,-5.92,-10.80,-6.64,-59.49,-72.43
-0.09,0.42,0.95,-7.39,-8.24,-9.95,-6.93,-57.53,-72.62
0.33,-2.14,0.27,-299.26,-141.48,139.47,-4.44,-71.16,-65.01
1.78,-1.24,-0.76,-38.51,139.95,-238.59,-13.42,-72.50,-73.24
-1.98,-0.19,0.27,-127.20,-71.66,70.92,-9.21,-77.74,-69.90
1.55,-1.60,-1.61,168.64,-186.65,322.94,0.30,-73.43,-59.32
1.37,-1.10,-0.17,5.49,-27.65,-231.20,-10.60,-73.65,-60.86
-0.68,0.33,-0.09,47.67,-10.50,-182.74,-15.81,-71.37,-62.62
0.10,-0.23,0.03,-26.37,-30.94,223.51,-7.98,-73.68,-58.59
3.16,-0.36,-0.23,-42.91,-3.17,148.13,-4.51,-75.80,-56.85
0.86,-0.53,-0.04,13.06,-30.70,-292.36,-17.90,-75.33,-58.54
-1.52,0.52,-0.28,49.74,-71.17,16.91,-16.20,-74.43,-55.40
0.94,-0.91,-0.09,-97.41,45.04,262.21,-6.78,-79.05,-54.57
1.72,-1.28,-0.53,-41.08,140.81,-205.93,-15.47,-80.10,-61.58
0.04,-0.01,-0.05,28.02,-90.27,-266.54,-26.52,-81.57,-58.90
-0.96,0.03,0.24,15.93,-5.19,132.32,-19.36,-80.77,-58.06
1.35,-1.85,-0.43,-33.94,-121.28,288.15,-9.26,-84.47,-51.37
1.33,-1.43,-0.58,11.72,35.64,-242.31,-19.91,-84.26,-53.65
-0.39,0.37,0.16,32.65,-57.92,-178.41,-26.21,-82.73,-52.27
-0.79,0.15,-0.00,17.64,-24.05,128.30,-19.44,-82.66,-50.56
1.12,-1.94,0.17,-87.04,-81.24,212.77,-11.63,-87.24,-46.46
1.48,-1.33,-0.20,5.13,54.57,-214.42,-21.37,-86.55,-49.13
-0.07,0.43,-0.57,47.42,-183.47,-302.80,-33.90,-90.30,-40.51
-0.82,0.32,0.08,10.13,6.47,109.25,-28.24,-89.50,-40.93
